No,Date,Month,Who,Description,Income,Expense,Balance,Categories,Under_Categories,2nd_Under_Categories,Voucher No,Remark
280,27-Feb-26,2,Tr. Gracy Myat Noe Thu,Pretty Cash for YLFC,,"400,000 ks","-400,000 ks",EXPENSE,General Expense,,,
281,7-Mar-26,3,Lwin Ko Oo,Borrowed from Guitar Costs,"1,550,000 ks",,"1,550,000 ks",INCOME,In other,,,
282,7-Mar-26,3,Tr. Cathorine Mai,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,Need to refund to Guitar costs
283,13-Mar-26,3,Lwin Ko Oo,Income From Bank,"2,915,000 ks",,"2,915,000 ks",INCOME,Project,,,
284,13-Mar-26,3,Lwin Ko Oo,For outreach Program,,"2,915,000 ks","-2,915,000 ks",EXPENSE,Ex Other,,,
285,21-Mar-26,3,Lwin Ko Oo,Income From Bank,"2,050,000 ks",,"2,050,000 ks",INCOME,Project,,,
286,21-Mar-26,3,Lwin Ko Oo,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
287,21-Mar-26,3,Lwin Ko Oo,Buying cooking oil for YLFC,,"500,000 ks","-500,000 ks",EXPENSE,Food,,,
288,29-Mar-26,3,Lwin Ko Oo,Income From Bank,"1,600,000 ks",,"1,600,000 ks",INCOME,Project,,,
289,29-Mar-26,3,Lwin Ko Oo,For Food,,"1,550,000 ks","-1,550,000 ks",EXPENSE,Food,,,
290,31-Mar-26,3,Lwin Ko Oo,Income From Bank,"4,072,500 ks",,"4,072,500 ks",INCOME,Project,,,
291,31-Mar-26,3,Lwin Ko Oo,Monthly Stipend for YLFC,,"3,150,000 ks","-3,150,000 ks",EXPENSE,PersonalCost,Teacher stipends,,
292,31-Mar-26,3,Lwin Ko Oo,Buying cooking oil and watermelon,,"922,500 ks","-922,500 ks",EXPENSE,Food,,,
293,31-Mar-26,3,Lwin Ko Oo,School fees from students,"2,104,000 ks",,"2,104,000 ks",INCOME,Student Contribution,,,
294,3-Apr-26,4,Lwin Ko Oo,Income From Bank,"2,700,000 ks",,"2,700,000 ks",INCOME,Project,,,
295,3-Apr-26,4,Lwin Ko Oo,Food and Refreshment,,"1,730,000 ks","-1,730,000 ks",EXPENSE,Ex Other,,,
296,3-Apr-26,4,Lwin Ko Oo,Decoration,,"300,000 ks","-300,000 ks",EXPENSE,Ex Other,,,
297,3-Apr-26,4,Lwin Ko Oo,Awarding Materials,,"374,000 ks","-374,000 ks",EXPENSE,Ex Other,,,
298,3-Apr-26,4,Lwin Ko Oo,Costume Hire,,"300,000 ks","-300,000 ks",EXPENSE,Ex Other,,,
299,4-Apr-26,4,Lwin Ko Oo,For Food,,"670,000 ks","-670,000 ks",EXPENSE,Food,,,
300,5-Apr-26,4,Lwin Ko Oo,Income From Bank,"2,120,000 ks",,"2,120,000 ks",INCOME,Project,,,
301,6-Apr-26,4,Lwin Ko Oo,Reimubursed insurance to YLFC students,,"3,450,000 ks","-3,450,000 ks",EXPENSE,Ex Other,,,
